" ","score","status","future"
"Index",67.51,,67.61
"Food Provision",16.93,16.34,17.52
". Fisheries",12.96,11.96,13.95
". Mariculture",33.08,34.12,32.03
"Artisanal Fishing Opportunity",71.92,66.48,77.35
"Natural Products",31.34,29.19,33.5
"Carbon Storage",,50,
"Coastal Protection",,50,
"Tourism & Recreation",100,100,100
"Coastal Livelihoods & Economies",86.77,100,73.53
". Livelihoods",100,100,100
". Economies",73.53,100,47.06
"Sense of Place",78.97,78.57,79.37
". Iconic Species",57.94,57.14,58.74
". Lasting Special Places",100,100,100
"Clean Waters",75.54,73.65,77.43
"Biodiversity",78.65,75.1,82.2
". Habitats",75.21,69.38,81.04
". Species",82.09,80.82,83.36
