"rgn_id","habitat","health"
2,"soft_bottom",0.88754394896
9,"soft_bottom",0.88754394896
6,"soft_bottom",0.88754394896
1,"soft_bottom",0.88754394896
4,"soft_bottom",0.88754394896
8,"soft_bottom",0.88754394896
5,"soft_bottom",0.88754394896
7,"soft_bottom",0.88754394896
10,"soft_bottom",0.88754394896
3,"soft_bottom",0.88754394896
2,"seagrass",0.5
9,"seagrass",0.5
6,"seagrass",0.5
1,"seagrass",0.5
4,"seagrass",0.5
8,"seagrass",0.5
5,"seagrass",0.5
7,"seagrass",0.5
10,"seagrass",0.5
3,"seagrass",0.5
