"rgn_id","year","popsum"
1,2005,72073.8828905433
2,2005,3007440.7190266
3,2005,498976.196516909
4,2005,3384537.30477858
5,2005,817734.514888618
6,2005,5109605.68445204
7,2005,1515926.9139095
8,2005,1785318.3385449
9,2005,426004.595647899
10,2005,749599.968089724
1,2006,59676.1849212247
2,2006,2600996.45067923
3,2006,436694.892658028
4,2006,2973027.18834138
5,2006,713241.479884413
6,2006,4412061.04745435
7,2006,1322002.07307369
8,2006,1531219.2355837
9,2006,368668.755585987
10,2006,654490.306713048
1,2007,59773.6423720328
2,2007,2604849.21999989
3,2007,439647.185490429
4,2007,2975470.93497743
5,2007,720708.691796394
6,2007,4402309.32712842
7,2007,1310695.75713839
8,2007,1520864.43418222
9,2007,366691.034225661
10,2007,648198.148423476
1,2008,59871.0909333565
2,2008,2608701.90641472
3,2008,442599.464224621
4,2008,2977914.65523128
5,2008,728175.913110645
6,2008,4392557.59906778
7,2008,1299389.39800256
8,2008,1510509.61162286
9,2008,364713.302242872
10,2008,641905.989454965
1,2009,59968.5445096134
2,2009,2612554.59791763
3,2009,445551.7430352
4,2009,2980358.32530761
5,2009,735643.115952657
6,2009,4382805.80690295
7,2009,1288083.02556645
8,2009,1500154.79704877
9,2009,362735.56128355
10,2009,635613.832320321
1,2010,73044.4906551345
2,2010,3030073.33217568
3,2010,515957.934793674
4,2010,3398732.01189635
5,2010,860993.319114312
6,2010,5052954.99167669
7,2010,1451967.06965207
8,2010,1725325.59898218
9,2010,414619.846664172
10,2010,713905.970481746
1,2011,60080.74939519
2,2011,2616843.56119212
3,2011,450897.870851629
4,2011,2981194.47732083
5,2011,749861.813308903
6,2011,4357481.95751617
7,2011,1264226.90842273
8,2011,1477760.93596808
9,2011,358335.042161656
10,2011,622477.375410943
1,2012,60095.5005533748
2,2012,2617279.81699503
3,2012,453291.710933596
4,2012,2979586.998501
5,2012,756613.297772013
6,2012,4341909.83171315
7,2012,1251677.12576766
8,2012,1465721.90391614
9,2012,355912.256524225
10,2012,615633.073576445
1,2013,60110.2580042702
2,2013,2617716.07338021
3,2013,455685.544904679
4,2013,2977979.45871182
5,2013,763364.780404859
6,2013,4326337.70083184
7,2013,1239127.34138624
8,2013,1453682.8706551
9,2013,353489.464942128
10,2013,608788.774705713
1,2014,60125.0116905309
2,2014,2618152.28687153
3,2014,458079.374777484
4,2014,2976371.89299935
5,2014,770116.256739626
6,2014,4310765.52855464
7,2014,1226577.53402579
8,2014,1441643.78782451
9,2014,351066.684331373
10,2014,601944.471386099
1,2015,73524.7538013348
2,2015,3032928.56894305
3,2015,529727.568108474
4,2015,3389849.38147548
5,2015,900105.716427279
6,2015,4962683.65896874
7,2015,1380937.21594684
8,2015,1655580.62939578
9,2015,400678.776396814
10,2015,675080.800682467
