"rgn_id","level","label"
2,"r2","Southern Europe"
9,"r2","Southern Europe"
6,"r2","Southern Europe"
1,"r2","Southern Europe"
4,"r2","Southern Europe"
8,"r2","Southern Europe"
5,"r2","Southern Europe"
7,"r2","Southern Europe"
10,"r2","Southern Europe"
3,"r2","Southern Europe"
2,"r1","Europe"
9,"r1","Europe"
6,"r1","Europe"
1,"r1","Europe"
4,"r1","Europe"
8,"r1","Europe"
5,"r1","Europe"
7,"r1","Europe"
10,"r1","Europe"
3,"r1","Europe"
2,"r0","World"
9,"r0","World"
6,"r0","World"
1,"r0","World"
4,"r0","World"
8,"r0","World"
5,"r0","World"
7,"r0","World"
10,"r0","World"
3,"r0","World"
