" ","score","status","future","trend","pressures","resilience"
"Index",67.67,,67.8,,,
"Food Provision",22.73,21.55,23.91,-0.06,,
". Fisheries",21.66,20,23.32,0,23,73.29
". Mariculture",27.09,27.85,26.33,-0.3,26.85,71.21
"Artisanal Fishing Opportunity",71.92,66.48,77.35,-0.01,21.29,73.62
"Natural Products",26.81,25.02,28.6,-0.07,19.4,76.23
"Carbon Storage",,50,,,,79.07
"Coastal Protection",,50,,,,79.07
"Tourism & Recreation",100,100,100,-0.05,48.53,83.62
"Coastal Livelihoods & Economies",86.77,100,73.53,-0.46,,
". Livelihoods",100,100,100,0.09,23.94,48.33
". Economies",73.53,100,47.06,-1,23.65,66.26
"Sense of Place",78.97,78.57,79.37,-0.09,,
". Iconic Species",57.94,57.14,58.75,-0.19,28.56,75.13
". Lasting Special Places",100,100,100,0,36.18,76.8
"Clean Waters",75.54,73.65,77.43,-0.01,66.38,83.62
"Biodiversity",78.65,75.1,82.21,-0.09,,
". Habitats",75.21,69.38,81.05,0.01,25.51,74.43
". Species",82.09,80.82,83.36,-0.18,28.55,75.31
